,decile,prob_min,prob_max,prob_avg,cnt_cust,cnt_resp,cnt_non_resp,cnt_resp_rndm,cnt_resp_wiz,resp_rate,cum_cust,cum_resp,cum_resp_wiz,cum_non_resp,cum_cust_pct,cum_resp_pct,cum_resp_pct_wiz,cum_non_resp_pct,KS,lift
0,1,0.055,0.49,0.105,2565.0,62.0,2503.0,21.1,211,2.417,2565.0,62.0,211,2503.0,10.002,29.384,100.0,9.841,19.543,2.938
1,2,0.03,0.055,0.04,2564.0,32.0,2532.0,21.1,0,1.248,5129.0,94.0,211,5035.0,20.0,44.55,100.0,19.796,24.754,2.228
2,3,0.019,0.03,0.023,2565.0,16.0,2549.0,21.1,0,0.624,7694.0,110.0,211,7584.0,30.002,52.133,100.0,29.818,22.315,1.738
3,4,0.013,0.018,0.016,2564.0,22.0,2542.0,21.1,0,0.858,10258.0,132.0,211,10126.0,40.0,62.559,100.0,39.813,22.746,1.564
4,5,0.01,0.013,0.012,2565.0,19.0,2546.0,21.1,0,0.741,12823.0,151.0,211,12672.0,50.002,71.564,100.0,49.823,21.741,1.431
5,6,0.007,0.01,0.009,2564.0,22.0,2542.0,21.1,0,0.858,15387.0,173.0,211,15214.0,60.0,81.991,100.0,59.818,22.173,1.367
6,7,0.005,0.007,0.006,2565.0,17.0,2548.0,21.1,0,0.663,17952.0,190.0,211,17762.0,70.002,90.047,100.0,69.836,20.211,1.286
7,8,0.003,0.005,0.004,2564.0,6.0,2558.0,21.1,0,0.234,20516.0,196.0,211,20320.0,80.0,92.891,100.0,79.893,12.998,1.161
8,9,0.002,0.003,0.003,2565.0,11.0,2554.0,21.1,0,0.429,23081.0,207.0,211,22874.0,90.002,98.104,100.0,89.935,8.169,1.09
9,10,0.001,0.002,0.002,2564.0,4.0,2560.0,21.1,0,0.156,25645.0,211.0,211,25434.0,100.0,100.0,100.0,100.0,0.0,1.0
